Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","270019","A","Chiffre officiel"
"TCL","Cultures et produits animaux","646","Rwanda","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","11.64","A","Chiffre officiel"
"TCL","Cultures et produits animaux","646","Rwanda","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","61","A","Chiffre officiel"
"TCL","Cultures et produits animaux","662","Sainte-Lucie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","8268.72","A","Chiffre officiel"
"TCL","Cultures et produits animaux","662","Sainte-Lucie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","11062","A","Chiffre officiel"
"TCL","Cultures et produits animaux","662","Sainte-Lucie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1.52","A","Chiffre officiel"
"TCL","Cultures et produits animaux","662","Sainte-Lucie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1","A","Chiffre officiel"
"TCL","Cultures et produits animaux","659","Saint-Kitts-et-Nevis","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3421.08","A","Chiffre officiel"
"TCL","Cultures et produits animaux","659","Saint-Kitts-et-Nevis","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","5906","A","Chiffre officiel"
"TCL","Cultures et produits animaux","659","Saint-Kitts-et-Nevis","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","8.47","A","Chiffre officiel"
"TCL","Cultures et produits animaux","659","Saint-Kitts-et-Nevis","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","17","A","Chiffre officiel"
"TCL","Cultures et produits animaux","670","Saint-Vincent-et-les Grenadines","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7020.64","A","Chiffre officiel"
"TCL","Cultures et produits animaux","670","Saint-Vincent-et-les Grenadines","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","9240","A","Chiffre officiel"
"TCL","Cultures et produits animaux","882","Samoa","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","15053.22","A","Chiffre officiel"
"TCL","Cultures et produits animaux","882","Samoa","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","17735","A","Chiffre officiel"
"TCL","Cultures et produits animaux","882","Samoa","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7.91","A","Chiffre officiel"
"TCL","Cultures et produits animaux","882","Samoa","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","24","A","Chiffre officiel"
"TCL","Cultures et produits animaux","678","Sao Tomé-et-Principe","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1860.1","A","Chiffre officiel"
"TCL","Cultures et produits animaux","678","Sao Tomé-et-Principe","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","2379","A","Chiffre officiel"
"TCL","Cultures et produits animaux","686","Sénégal","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","8.98","A","Chiffre officiel"
"TCL","Cultures et produits animaux","686","Sénégal","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","48","A","Chiffre officiel"
"TCL","Cultures et produits animaux","688","Serbie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","7182.47","A","Chiffre officiel"
"TCL","Cultures et produits animaux","688","Serbie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","6503","A","Chiffre officiel"
"TCL","Cultures et produits animaux","688","Serbie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","5734.81","A","Chiffre officiel"
"TCL","Cultures et produits animaux","688","Serbie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","9527","A","Chiffre officiel"
"TCL","Cultures et produits animaux","690","Seychelles","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3124.38","A","Chiffre officiel"
"TCL","Cultures et produits animaux","690","Seychelles","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","4729","A","Chiffre officiel"
"TCL","Cultures et produits animaux","694","Sierra Leone","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","13069.56","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","694","Sierra Leone","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","13125","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","694","Sierra Leone","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","27","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","694","Sierra Leone","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","20","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","702","Singapour","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","122429.63","I","Valeur imputée"
"TCL","Cultures et produits animaux","702","Singapour","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","226040","A","Chiffre officiel"
"TCL","Cultures et produits animaux","702","Singapour","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17833.95","I","Valeur imputée"
"TCL","Cultures et produits animaux","702","Singapour","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","23508","A","Chiffre officiel"
"TCL","Cultures et produits animaux","703","Slovaquie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","48808.16","A","Chiffre officiel"
"TCL","Cultures et produits animaux","703","Slovaquie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","88275","A","Chiffre officiel"
"TCL","Cultures et produits animaux","703","Slovaquie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","19032.26","A","Chiffre officiel"
"TCL","Cultures et produits animaux","703","Slovaquie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","40542","A","Chiffre officiel"
