Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB (en millions),Valeur US $ par habitant du PIB (en US dol),Valeur US $ du RNB (en millions),Valeur US $ par habitant du RNB (en US dol),Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Coût des fruits,"Coût en légumineuses, noix et graines",Coût en huile et graisse,Coût des féculents,Coût des légumes,Femmes,Hommes,Population rurale,Population totale,Population urbaine
Afrique du Sud,14.11,2118.0,63.0,514.0,2035.0,83.0,1667.0,349006.689642,6121.876572,338539.746832,5938.277421,4.102,1.059,0.727,0.852,0.129,0.633,0.702,29175.94,27465.269,19369.002,56641.209,37348.154
Albanie,6.26,47.0,0.0,38.0,47.0,0,13.0,13019.729856,4514.204908,13051.517242,4525.226241,3.952,1.204,0.911,0.441,0.089,0.599,0.707,1436.18,1443.175,1190.155,2879.355,1740.032
Algérie,1.97,277.0,0.0,2.0,264.0,13.0,275.0,170096.984537,4109.696001,167910.128603,4056.859597,3.763,0.964,0.979,0.493,0.132,0.496,0.699,20175.233,20961.313,11547.532,41136.546,29770.61
Allemagne,7.96,1739.0,646.0,842.0,1609.0,0,1514.0,3690849.152518,44651.829102,3778789.1837,45715.726076,2.786,0.666,0.714,0.301,0.052,0.235,0.816,41873.558,40750.817,18672.1,82624.374,63442.124
Angola,3.6,319.0,0.0,277.0,315.0,2.0,42.0,122123.858628,4095.811686,114534.316867,3841.272285,4.327,1.011,0.717,0.395,0.166,0.839,1.199,15293.335,14915.293,10472.554,30208.628,19311.639
Antigua-et-Barbuda,17.77,7.0,0.0,7.0,5.0,0,0.0,1467.977778,15383.415188,1427.607931,14960.366474,4.112,0.682,1.003,0.429,0.115,0.604,1.279,47.658,43.461,76.802,91.119,25.21
Arabie saoudite,15.57,1435.0,10.0,722.0,1435.0,0,616.0,688586.094413,20802.464299,699284.129095,21125.656252,3.441,1.031,0.739,0.303,0.173,0.457,0.738,14364.501,19828.621,5394.59,34193.122,27543.623
Argentine,13.53,1962.0,207.0,8.0,1856.0,106.0,2161.0,643628.396191,14648.845969,627200.466771,14274.949775,3.341,0.669,0.733,0.656,0.117,0.463,0.703,22249.068,21805.549,3652.804,44054.616,40618.237
Arménie,5.44,47.0,0.0,35.0,47.0,0.0,11.0,11527.458713,3914.525246,11934.829588,4052.861337,3.096,0.973,0.488,0.541,0.123,0.537,0.433,1556.899,1295.024,1081.248,2851.923,1849.202
Australie,16.6,1171.0,42.0,16.0,1171.0,0,1269.0,1416783.718751,57628.863849,1371861.981116,55801.634563,2.259,0.458,0.667,0.249,0.067,0.221,0.597,12391.577,12198.756,3446.638,24590.334,21003.923
Autriche,7.49,173.0,78.0,110.0,160.0,0,148.0,417261.151845,47309.051637,413348.647949,46865.452112,2.772,0.612,0.819,0.36,0.055,0.229,0.698,4472.011,4325.485,3660.707,8797.496,5074.746
Azerbaïdjan,4.45,129.0,0.0,27.0,129.0,0,104.0,40866.632048,4150.868844,39321.62285,3993.940558,2.348,0.729,0.26,0.463,0.132,0.448,0.317,5105.788,4965.779,4388.663,10071.567,5438.926
Bahamas,14.61,26.0,0,24.0,16.0,0,6.0,12359.749424,32376.12978,11814.217163,30947.118343,4.276,0.848,1.03,0.656,0.453,0.574,0.716,207.529,191.491,67.508,399.02,327.853
Bangladesh,0.47,250.0,0,0.0,240.0,10.0,249.0,245633.488923,1538.233627,256188.386331,1604.331691,2.882,1.143,0.559,0.227,0.118,0.359,0.477,81371.533,80422.431,105622.933,161793.964,59046.818
Belgique,4.57,152.0,656.0,338.0,144.0,0.0,463.0,502764.720556,44025.903247,507373.706788,44429.50114,2.862,0.745,0.79,0.369,0.06,0.222,0.677,5777.356,5607.133,233.097,11384.489,11196.239
Belize,8.26,19.0,0.0,0.0,10.0,0,20.0,1844.906692,4909.683057,1720.624406,4578.941866,2.476,0.776,0.162,0.224,0.129,0.38,0.805,186.106,188.588,203.824,374.693,170.857
Bolivie (État plurinational de),11.43,429.0,1.0,1.0,403.0,27.0,533.0,37508.683068,3351.127399,36623.484751,3272.041383,3.551,1.046,0.411,0.53,0.14,0.781,0.644,5686.999,5748.534,3417.155,11435.533,7634.445
Bosnie-Herzégovine,5.66,55.0,8.0,10.0,56.0,0,61.0,18080.610875,5394.741461,17929.055525,5349.521643,3.847,0.921,0.916,0.512,0.132,0.54,0.825,1752.004,1688.023,1828.006,3440.027,1679.011
Botswana,1.19,7.0,0.0,3.0,7.0,0,5.0,17405.496707,7893.36292,16039.054149,7273.683562,3.622,1.097,0.795,0.402,0.142,0.39,0.796,1218.333,1183.506,717.29,2401.84,1574.371
Brésil,15.68,9982.0,4223.0,3.0,9982.0,0,14201.0,2063514.688762,9928.675992,2024937.157759,9743.058798,2.809,0.635,0.46,0.742,0.067,0.439,0.465,105937.948,102567.011,28654.406,208504.96,180633.872
Bulgarie,8.74,157.0,45.0,108.0,157.0,0,107.0,59200.845118,8335.277986,58986.146791,8305.04919,3.78,0.963,0.959,0.478,0.101,0.504,0.774,3700.476,3481.952,1794.614,7182.428,5289.957
Burkina Faso,0.77,46.0,0,0.0,44.0,2.0,46.0,14106.955625,734.996282,13577.33464,707.402131,3.173,1.145,0.354,0.127,0.19,0.439,0.917,9965.204,9870.655,13676.652,19835.858,5516.73
Bélarus,9.41,265.0,152.0,21.0,264.0,0,463.0,54725.418814,5790.908054,52669.797353,5573.387291,3.177,0.826,0.678,0.643,0.174,0.506,0.349,5220.541,4487.336,2070.383,9707.876,7397.955
Bénin,4.98,161.0,0.0,123.0,161.0,0,18.0,12701.655846,1136.59336,12561.417748,1124.044312,3.55,1.168,0.538,0.297,0.125,0.41,1.012,5796.573,5800.206,5949.046,11596.779,5226.646
Cabo Verde,6.52,10.0,0,12.0,9.0,0,1.0,1769.786532,3292.638357,1709.004781,3179.555609,3.358,0.779,0.823,0.281,0.098,0.342,1.036,283.971,280.983,189.808,564.954,356.58
Cambodge,0.74,38.0,0,10.0,37.0,1.0,28.0,22177.200626,1385.260419,20800.20961,1299.249061,3.618,1.226,0.526,0.422,0.15,0.503,0.791,7996.341,7834.347,12327.338,15830.689,3678.035
Cameroun,1.07,82.0,0.0,0.0,78.0,4.0,81.0,35009.259798,1425.106072,34347.939663,1398.186013,2.616,0.837,0.447,0.144,0.116,0.48,0.592,12235.344,12157.838,10637.19,24393.181,13416.537
Canada,13.86,1433.0,163.0,182.0,1433.0,0,1417.0,1649518.967468,44906.74892,1628541.67382,44335.659968,2.863,0.766,0.673,0.31,0.078,0.43,0.605,18411.504,18142.843,6830.253,36554.348,29793.946
Chili,12.21,672.0,115.0,155.0,672.0,0,712.0,277034.678676,14998.813979,265577.081089,14378.493174,3.053,0.765,0.619,0.261,0.116,0.352,0.94,9254.199,9114.379,2258.558,18368.577,15796.168
Chine - RAS de Hong-Kong,22.26,280.0,663.0,907.0,391.0,0,24.0,341241.97222,46705.027813,356069.162416,48734.392272,3.659,1.034,0.675,0.304,0.16,0.745,0.742,4013.322,3448.197,0.0,7461.519,7364.883
"Chine, continentale",3.96,18161.0,576.0,452.0,17518.0,643.0,18236.0,12310491.937814,8663.126784,12300803.763119,8656.309031,2.571,0.672,0.617,0.281,0.093,0.429,0.478,688875.134,721400.823,592559.784,1410275.957,816957.613
Chypre,9.58,38.0,1.0,14.0,30.0,1.0,25.0,22870.734322,26755.5929,22124.021596,25882.042387,2.846,0.697,0.724,0.279,0.08,0.416,0.65,603.093,605.429,391.192,1208.523,788.359
Colombie,9.57,1643.0,2.0,78.0,1565.0,78.0,1564.0,311883.730442,6376.707362,306184.599947,6260.184172,2.863,0.798,0.492,0.262,0.146,0.548,0.617,24477.1,23874.571,9594.518,48351.671,39471.097
Congo,7.45,110.0,0.0,104.0,110.0,0.0,7.0,11011.6519,2154.629048,9467.402985,1852.46879,3.343,0.633,0.733,0.224,0.1,0.532,1.12,2660.503,2651.836,1764.522,5312.34,3496.228
Costa Rica,7.93,134.0,3.0,17.0,131.0,0,133.0,60516.044623,12225.577172,57352.915855,11586.55532,3.961,0.863,0.587,0.411,0.094,0.617,1.388,2490.983,2502.859,1051.813,4993.842,3853.956
Croatie,4.06,45.0,17.0,24.0,45.0,0,61.0,56214.432403,13439.243178,55924.434062,13369.912972,4.168,0.955,0.95,0.556,0.073,0.496,1.138,2159.3,2033.167,1815.373,4192.467,2373.98
Côte d'Ivoire,0.86,65.0,0.0,7.0,62.0,3.0,58.0,51588.154312,2111.026809,50051.962748,2048.164673,3.273,1.111,0.39,0.149,0.148,0.434,1.041,12275.633,12572.382,12068.187,24848.016,12226.563
Danemark,12.97,167.0,139.0,133.0,166.0,0,173.0,332121.063806,57938.797728,339391.058128,59207.054326,2.376,0.498,0.546,0.263,0.053,0.235,0.78,2886.493,2850.791,701.971,5737.284,5031.58
