Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB (en millions),Valeur US $ par habitant du PIB (en US dol),Valeur US $ du RNB (en millions),Valeur US $ par habitant du RNB (en US dol),Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Coût des fruits,"Coût en légumineuses, noix et graines",Coût en huile et graisse,Coût des féculents,Coût des légumes,Femmes,Hommes,Population rurale,Population totale,Population urbaine
Italie,7.83,1173.0,183.0,97.0,1146.0,0,1315.0,1961796.197354,32333.550863,1972734.900186,32513.838247,2.885,0.778,0.812,0.266,0.057,0.221,0.751,30836.027,29168.005,17722.588,60004.032,41637.312
Jamaïque,15.71,152.0,1.0,31.0,149.0,0,128.0,14808.985267,5070.097885,14306.810207,4898.170054,5.975,1.144,1.997,0.454,0.242,0.684,1.454,1413.838,1394.537,1289.697,2808.376,1600.602
Japon,7.24,2415.0,10.0,1069.0,2359.0,56.0,2215.0,4930837.369151,38672.40774,5040348.134892,39531.29735,5.529,0.887,1.003,0.51,0.085,1.477,1.567,65047.99,61614.482,10791.174,126662.472,116693.276
Jordanie,10.1,275.0,10.0,64.0,275.0,0.0,210.0,41408.450704,4231.464852,41202.622759,4210.431616,3.412,1.288,0.604,0.324,0.127,0.402,0.667,4902.957,5312.425,897.788,10215.381,8804.565
Kazakhstan,6.18,331.0,6.0,174.0,330.0,0,171.0,166805.788967,9225.974208,148432.692312,8209.764177,2.391,0.672,0.356,0.466,0.124,0.43,0.344,9537.317,8777.496,7766.771,18314.814,10437.728
Kenya,0.23,35.0,0.0,0.0,34.0,2.0,35.0,82064.798407,1634.068744,80527.195747,1603.452103,2.846,0.935,0.569,0.216,0.179,0.432,0.515,24652.004,24296.132,36498.515,48948.137,13201.347
Kirghizistan,1.08,32.0,0.0,25.0,19.0,0,7.0,7702.938395,1244.470221,7323.211877,1183.122419,2.97,0.796,0.466,0.562,0.172,0.529,0.445,3117.536,3003.724,3860.7,6121.261,2184.417
Koweït,15.87,189.0,4.0,137.0,188.0,0,56.0,120687.750672,29754.636332,128909.900522,31781.744115,3.344,1.024,0.64,0.333,0.169,0.253,0.924,1616.95,2507.954,0.0,4124.904,4136.528
Lesotho,2.72,17.0,0.0,15.0,17.0,0,2.0,2304.459267,1101.803397,2618.064759,1251.74382,3.77,1.172,0.838,0.362,0.148,0.462,0.788,1100.655,1069.963,1614.034,2170.617,619.305
Lettonie,7.22,41.0,20.0,43.0,41.0,0,33.0,30483.806018,15623.931572,30407.220412,15584.678984,3.124,0.794,0.648,0.314,0.111,0.335,0.921,1055.969,898.894,622.436,1954.862,1327.234
Libéria,3.74,50.0,0.0,48.0,50.0,0,15.0,2763.0,587.594046,2508.275831,533.42307,4.018,0.685,0.901,0.229,0.092,1.27,0.84,2413.339,2383.292,2332.953,4796.631,2398.953
Lituanie,9.74,82.0,68.0,44.0,80.0,0,118.0,47758.736932,16784.459812,46031.966159,16177.598816,3.003,0.702,0.67,0.343,0.086,0.368,0.834,1553.501,1350.949,938.898,2904.45,1951.399
